Date,Temperature_C
2023-04-02,6.22
2023-04-03,8.22
2023-04-04,7.22
2023-04-05,6.06
2023-04-06,4.22
2023-04-07,3.89
2023-04-08,4.89
2023-04-09,7.72
2023-04-10,8.78
2023-04-11,9.17
2023-04-12,10.22
2023-04-13,10.11
2023-04-14,3.39
2023-04-15,0.94
2023-04-16,4.28
2023-04-17,9.0
2023-04-18,9.94
2023-04-19,9.56
2023-04-20,9.17
2023-04-21,8.61
2023-04-22,8.39
2023-04-23,9.78
2023-04-24,12.56
2023-04-25,12.72
2023-04-26,10.44
2023-04-27,12.28
2023-04-28,13.39
2023-04-29,3.72
2023-04-30,6.94
2023-05-01,6.11
2023-05-02,2.06
2023-05-03,8.61
2023-05-04,4.5
2023-05-05,6.61
2023-05-06,-0.17
2023-05-07,-0.89
2023-05-08,2.72
2023-05-09,4.28
2023-05-10,8.61
2023-05-11,11.56
2023-05-12,10.17
2023-05-13,11.94
2023-05-14,11.5
2023-05-15,9.22
2023-05-16,12.56
2023-05-17,15.28
2023-05-18,16.61
2023-05-19,13.72
2023-05-20,10.22
2023-05-21,9.78
2023-05-22,11.0
2023-05-23,13.11
2023-05-24,15.78
2023-05-25,12.0
2023-05-26,14.78
2023-05-27,15.5
2023-05-28,9.17
2023-05-29,9.39
2023-05-30,14.28
2023-05-31,11.11
2023-06-01,9.72
2023-06-02,12.28
2023-06-03,11.33
2023-06-04,5.06
2023-06-05,10.11
2023-06-06,10.17
2023-06-07,12.5
2023-06-08,13.33
2023-06-09,15.17
2023-06-10,11.11
2023-06-11,8.78
2023-06-12,10.11
2023-06-13,12.39
2023-06-14,14.0
2023-06-15,15.89
2023-06-16,18.72
2023-06-17,18.39
2023-06-18,16.72
2023-06-19,14.22
2023-06-20,14.78
2023-06-21,12.0
2023-06-22,15.17
2023-06-23,14.61
2023-06-24,16.0
2023-06-25,14.83
2023-06-26,17.39
2023-06-27,17.83
2023-06-28,14.72
2023-06-29,15.0
2023-06-30,13.0
2023-07-01,14.33
2023-07-02,15.61
2023-07-03,18.22
2023-07-04,16.39
2023-07-05,19.5
2023-07-06,19.11
2023-07-07,23.0
2023-07-08,18.5
2023-07-09,17.5
2023-07-10,15.39
2023-07-11,13.28
2023-07-12,10.72
2023-07-13,11.78
2023-07-14,13.28
2023-07-15,14.61
2023-07-16,14.28
2023-07-17,16.22
2023-07-18,20.78
2023-07-19,13.78
2023-07-20,12.61
2023-07-21,14.0
2023-07-22,11.0
2023-07-23,15.89
2023-07-24,13.33
2023-07-25,15.28
2023-07-26,18.28
2023-07-27,16.61
2023-07-28,20.78
2023-07-29,14.56
2023-07-30,14.78
2023-07-31,16.28
2023-08-01,19.39
2023-08-02,19.61
2023-08-03,19.78
2023-08-04,22.06
2023-08-05,20.67
2023-08-06,23.39
2023-08-07,23.39
2023-08-08,21.0
2023-08-09,18.5
2023-08-10,15.28
2023-08-11,18.44
2023-08-12,22.22
2023-08-13,19.5
2023-08-14,17.89
2023-08-15,17.89
2023-08-16,16.89
2023-08-17,19.0
2023-08-18,21.33
2023-08-19,19.78
2023-08-20,20.28
2023-08-21,14.39
2023-08-22,16.44
2023-08-23,14.0
2023-08-24,13.78
2023-08-25,10.78
2023-08-26,12.11
2023-08-27,13.89
2023-08-28,15.56
2023-08-29,13.5
2023-08-30,14.0
2023-08-31,14.78
2023-09-01,17.28
2023-09-02,18.39
2023-09-03,14.0
2023-09-04,13.56
2023-09-05,13.11
2023-09-06,15.11
2023-09-07,8.61
2023-09-08,10.72
2023-09-09,9.56
2023-09-10,10.28
2023-09-11,11.11
2023-09-12,11.11
2023-09-13,13.11
2023-09-14,13.94
2023-09-15,13.78
2023-09-16,12.39
2023-09-17,8.67
2023-09-18,12.5
2023-09-19,11.28
2023-09-20,15.28
2023-09-21,16.28
2023-09-22,16.78
2023-09-23,12.0
2023-09-24,14.0
2023-09-25,15.5
2023-09-26,10.89
2023-09-27,11.78
2023-09-28,13.06
2023-09-29,13.61
2023-09-30,14.78
2023-10-01,15.72
2023-10-02,8.89
2023-10-03,9.0
2023-10-04,12.44
2023-10-05,9.11
2023-10-06,9.78
2023-10-07,0.5
2023-10-08,5.61
2023-10-09,1.22
2023-10-10,1.56
2023-10-11,-0.61
2023-10-12,5.78
2023-10-13,8.78
2023-10-14,6.11
2023-10-15,13.89
2023-10-16,7.61
2023-10-17,3.0
2023-10-18,3.39
2023-10-19,4.39
2023-10-20,4.61
2023-10-21,3.0
2023-10-22,1.28
2023-10-23,2.72
2023-10-24,1.83
2023-10-25,-0.78
2023-10-26,-1.94
2023-10-27,-2.78
2023-10-28,-1.22
2023-10-29,-0.39
2023-10-30,-0.61
2023-10-31,8.61
2023-11-01,10.5
2023-11-02,12.28
2023-11-03,2.78
2023-11-04,1.11
2023-11-05,6.83
2023-11-06,8.78
2023-11-07,8.78
2023-11-08,7.39
2023-11-09,6.22
2023-11-10,5.11
2023-11-11,4.72
2023-11-12,3.61
2023-11-13,5.28
2023-11-14,2.78
2023-11-15,2.11
2023-11-16,1.72
2023-11-17,-2.17
2023-11-18,-6.28
2023-11-19,-7.33
2023-11-20,-7.22
2023-11-21,-8.67
2023-11-22,-9.0
2023-11-23,-8.28
2023-11-24,-7.28
2023-11-25,-6.67
2023-11-26,-5.0
2023-11-27,-5.0
2023-11-28,-3.0
2023-11-29,-7.0
2023-11-30,-1.0
2023-12-01,-5.22
2023-12-02,-4.83
2023-12-03,-4.5
2023-12-04,-7.22
2023-12-05,-9.61
2023-12-06,-10.17
2023-12-07,-8.89
2023-12-08,-12.5
2023-12-09,-14.0
2023-12-10,-13.11
2023-12-11,-9.11
2023-12-12,-7.11
2023-12-13,-9.5
2023-12-14,-11.61
2023-12-15,-8.39
2023-12-16,-11.22
2023-12-17,-3.72
2023-12-18,-0.22
2023-12-19,1.78
2023-12-20,3.28
2023-12-21,0.39
2023-12-22,0.33
2023-12-23,1.28
2023-12-24,-0.78
2023-12-25,-1.22
2023-12-26,-2.0
2023-12-27,-1.72
2023-12-28,-2.72
2023-12-29,-4.0
2023-12-30,1.17
2023-12-31,0.39
2024-01-01,-11.56
